ï»¿State,County,Date Detected,HPAI Strain,Type of Wild Bird,Sampling Source
Missouri,Buchanan,3/18/2022,EA H5N1,Hooded merganser,Agency harvest NWDP
Iowa,Monona,3/18/2022,EA H5N1,Snow goose,Hunter harvest NWDP
Massachusetts,Barnstable,3/16/2022,EA H5N1,Sanderling,Wild bird mortality MDFW/USGS (5)
Massachusetts,Barnstable,3/16/2022,EA H5N1,Sanderling,Wild bird mortality MDFW/USGS (5)
Massachusetts,Barnstable,3/16/2022,EA H5N1,Sanderling,Wild bird mortality MDFW/USGS (5)
Massachusetts,Barnstable,3/16/2022,EA H5N1,Sanderling,Wild bird mortality MDFW/USGS (5)
Massachusetts,Barnstable,3/16/2022,EA H5N1,Sanderling,Wild bird mortality MDFW/USGS (5)
Massachusetts,Barnstable,3/16/2022,EA H5,Sanderling,Wild bird mortality MDFW/USGS (5)
Massachusetts,Barnstable,3/16/2022,EA H5N1,Sanderling,Wild bird mortality MDFW/USGS (5)
Massachusetts,Barnstable,3/16/2022,EA H5N1,Sanderling,Wild bird mortality MDFW/USGS (5)
Massachusetts,Barnstable,3/16/2022,EA H5N1,Red-tailed hawk,Wild bird mortality MDFW/USGS (5)
Massachusetts,Barnstable,3/16/2022,EA H5,Turkey vulture,Wild bird mortality MDFW/USGS (5)
Missouri,Holt,3/16/2022,EA/AM H5N1,Snow goose,Wild bird mortality MDC/USGS (15)
Missouri,Holt,3/16/2022,EA/AM H5N1,Snow goose,Wild bird mortality MDC/USGS (15)
Missouri,Holt,3/16/2022,EA/AM H5N1,Snow goose,Wild bird mortality MDC/USGS (15)
Missouri,Chariton,3/16/2022,EA/AM H5N1,Snow goose,Wild bird mortality MDC/USGS (15)
Missouri,Chariton,3/16/2022,EA H5,Snow goose,Wild bird mortality MDC/USGS (15)
Missouri,Chariton,3/16/2022,EA/AM H5N1,Snow goose,Wild bird mortality MDC/USGS (15)
Missouri,Chariton,3/16/2022,EA/AM H5N1,Snow goose,Wild bird mortality MDC/USGS (15)
Illinois,Fulton,3/16/2022,EA H5N1,Ross's goose,Wild bird mortality NWDP/USFWS/USGS
South Dakota,Charles Mix,3/18/2022,EA/AM H5N1,Snow goose,Wild bird mortality USGS/FWS (2)
South Dakota,Charles Mix,3/18/2022,EA H5N1,Snow goose,Wild bird mortality USGS/FWS (2)
South Dakota,Charles Mix,3/18/2022,EA/AM H5N1,Canada goose,Wild bird mortality USGS/FWS (2)
Florida,Volusia,3/18/2022,EA H5N1,Black vulture,Wild bird mortality FFWCC
Florida,Volusia,3/18/2022,EA H5N1,Black vulture,Wild bird mortality FFWCC
Florida,Volusia,3/18/2022,EA H5N1,Black vulture,Wild bird mortality FFWCC
Florida,Volusia,3/18/2022,EA H5N1,Black vulture,Wild bird mortality FFWCC
Florida,Volusia,3/18/2022,EA H5N1,Black vulture,Wild bird mortality FFWCC
Florida,Brevard,3/18/2022,EA/AM H5N1,Black vulture,Wild bird mortality Brevard Zoo
Florida,Brevard,3/18/2022,EA/AM H5N1,Black vulture,Wild bird mortality Brevard Zoo
Florida,Brevard,3/18/2022,EA H5N1,Bald eagle,Wild bird mortality FFWCC/SCWDS (8)
Florida,Brevard,3/18/2022,EA H5N1,Bald eagle,Wild bird mortality FFWCC/SCWDS (8)
Florida,Charlotte,3/18/2022,EA H5N1,Hooded merganser,Wild bird mortality FFWCC/SCWDS (8)
Florida,Brevard,3/18/2022,EA H5N1,Great blue heron,Wild bird mortality FFWCC/SCWDS (8)
Florida,Brevard,3/18/2022,EA H5N1,Black vulture,Wild bird mortality FFWCC/SCWDS (8)
Florida,Brevard,3/18/2022,EA H5N1,Gull (unidentified),Wild bird mortality FFWCC/SCWDS (8)
Florida,Brevard,3/18/2022,EA H5N1,Great horned owl,Wild bird mortality FFWCC/SCWDS (8)
Florida,Brevard,3/18/2022,EA H5N1,Great horned owl,Wild bird mortality FFWCC/SCWDS (8)
Florida,Brevard,3/18/2022,EA H5N1,Bald eagle,Wild bird mortality FFWCC/SCWDS (8)
Florida,Brevard,3/18/2022,EA H5N1,Black vulture,Wild bird mortality FFWCC/SCWDS (8)
Florida,Brevard,3/18/2022,EA H5N1,Black vulture,Wild bird mortality FFWCC/SCWDS (8)
Florida,Polk,3/18/2022,EA H5N1,Ring-billed gull,Wild bird mortality FFWCC/SCWDS (8)
South Carolina,Charleston,3/18/2022,EA H5N1,Bald eagle,Wild bird mortality SCWDS
South Carolina,Charleston,3/18/2022,EA H5N1,Bald eagle,Wild bird mortality SCWDS
North Carolina,Brunswick,3/18/2022,EA H5N1,Brown pelican,Wild bird mortality NCWRC/SCWDS (4)
North Carolina,Pamlico,3/18/2022,EA H5,Ruddy duck,Wild bird mortality NCWRC/SCWDS (4)
North Carolina,Beaufort,3/18/2022,EA H5N1,Bald eagle,Wild bird mortality NCWRC/SCWDS (4)
North Carolina,Davidson,3/18/2022,EA H5N1,Bald eagle,Wild bird mortality USFWS/SCWDS (11)
Kansas,Norton,3/18/2022,EA H5N1,Snow goose,Wild bird mortality KDWP/SCWDS (14)
Kansas,Norton,3/18/2022,EA H5N1,Snow goose,Wild bird mortality KDWP/SCWDS (14)
Kansas,Mitchell,3/18/2022,EA H5N1,Snow goose,Wild bird mortality KDWP/SCWDS (14)
Kansas,Mitchell,3/18/2022,EA H5N1,Snow goose,Wild bird mortality KDWP/SCWDS (14)
Kansas,Mitchell,3/18/2022,EA H5N1,Bald eagle,Wild bird mortality KDWP/SCWDS (14)
Tennessee,Dyer,3/21/2022,EA H5N1,American green-winged teal,Hunter harvest NWDP
Tennessee,Dyer,3/21/2022,EA H5N1,Mallard,Hunter harvest NWDP
Iowa,Harrison,3/22/2022,EA H5N1,Snow goose,Hunter harvest NWDP
Iowa,Harrison,3/22/2022,EA H5N1,Ross's goose,Hunter harvest NWDP
Iowa,Harrison,3/22/2022,EA H5N1,Ross's goose,Hunter harvest NWDP
Illinois,Champaign,3/22/2022,EA H5N1,Canada goose,Wild bird mortality NWDP
Illinois,Sangamon,3/22/2022,EA H5N1,Canada goose,Wild bird mortality NWDP
Iowa,Page,3/16/2022,EA/AM H5N1,Lesser snow goose,Wild bird mortality IA DNR/NWDP (16)
Iowa,Page,3/16/2022,EA H5,Ross's goose,Wild bird mortality IA DNR/NWDP (16)
Iowa,Page,3/16/2022,EA/AM H5N1,Lesser snow goose,Wild bird mortality IA DNR/NWDP (16)
Iowa,Page,3/16/2022,EA/AM H5N1,Lesser snow goose,Wild bird mortality IA DNR/NWDP (16)
Iowa,Page,3/16/2022,EA/AM H5N1,Lesser snow goose- blue phase,Wild bird mortality IA DNR/NWDP (16)
Iowa,Page,3/16/2022,EA/AM H5N1,Lesser snow goose- blue phase,Wild bird mortality IA DNR/NWDP (16)
Iowa,Page,3/16/2022,EA/AM H5N1,Lesser snow goose,Wild bird mortality IA DNR/NWDP (16)
Iowa,Page,3/16/2022,EA/AM H5N1,Lesser snow goose,Wild bird mortality IA DNR/NWDP (16)
Iowa,Page,3/16/2022,EA/AM H5N1,Lesser snow goose,Wild bird mortality IA DNR/NWDP (16)
North Dakota,Burleigh,3/24/2022,EA H5,Snow goose,Wild bird mortality ND Game and Fish
Colorado,Sedgwick,3/24/2022,EA H5N1,Ross's goose,Wild bird mortality CO Parks & Wildlife
Colorado,Sedgwick,3/24/2022,EA H5N1,Snow goose,Wild bird mortality CO Parks & Wildlife
Colorado,Sedgwick,3/24/2022,EA H5N1,Snow goose,Wild bird mortality CO Parks & Wildlife
Colorado,Sedgwick,3/24/2022,EA H5N1,Snow goose,Wild bird mortality CO Parks & Wildlife
Colorado,Sedgwick,3/24/2022,EA H5N1,Ross's goose,Wild bird mortality CO Parks & Wildlife
Colorado,Sedgwick,3/24/2022,EA H5N1,Snow goose,Wild bird mortality CO Parks & Wildlife
Iowa,Cerro Gordo,3/22/2022,EA H5,Red-tailed hawk,Wild bird mortality IA DNR
Iowa,Dickinson,3/24/2022,EA H5N1,Snow goose,Wild bird mortality IA DNR/NWDP (16)
Iowa,Dickinson,3/24/2022,EA H5N1,Snow goose,Wild bird mortality IA DNR/NWDP (16)
Iowa,Dickinson,3/24/2022,EA H5N1,Snow goose,Wild bird mortality IA DNR/NWDP (16)
Iowa,Dickinson,3/24/2022,EA H5N1,Snow goose,Wild bird mortality IA DNR/NWDP (16)
New York,Cayuga,3/24/2022,EA/AM H5N1,Snow goose,Wild bird mortality NYSDEC (6)
New York,Cayuga,3/24/2022,EA/AM H5N1,Snow goose,Wild bird mortality NYSDEC (6)
New York,Cayuga,3/24/2022,EA H5,Snow goose,Wild bird mortality NYSDEC (6)
New York,Cayuga,3/24/2022,EA H5N1,Snow goose,Wild bird mortality NYSDEC (6)
New York,Cayuga,3/24/2022,EA/AM H5N1,Duck (unidentified),Wild bird mortality NYSDEC (6)
Pennsylvania,Chester,3/24/2022,EA H5N1,Bald eagle,Wild bird mortality PA Game Commission
South Dakota,Stanley,3/24/2022,EA H5N1,Canada goose,Wild bird mortality SDGFP/USGS (18)
South Dakota,Stanley,3/24/2022,EA H5N1,Canada goose,Wild bird mortality SDGFP/USGS (18)
South Dakota,Stanley,3/24/2022,EA H5N1,Canada goose,Wild bird mortality SDGFP/USGS (18)
Ohio,Ottawa,3/30/2022,EA H5,American black duck,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,American black duck,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,American black duck,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,American black duck,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,American black duck,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,American black duck,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,Mallard,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,Mallard,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,Mallard,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,Mallard,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,Mallard,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,Mallard,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,Mallard,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,Mallard,Live bird NWDP
Ohio,Ottawa,3/30/2022,EA H5,Mallard,Live bird NWDP
